sample_token,scene_token,scene_name,timestamp_us,steer_norm,accel_norm
ca9a282c9e77460f8360f564131a8af5,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402927660821,0.007853981633973954,-0.057540059774625264
39586f9d59004284a7114a68825e8eec,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402928146372,0.009017534468637104,-0.06268325254543541
356d81f38dd9473ba590f39e266f54e5,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402928701409,0.010471975511965713,-0.06451250327189233
e0845f5322254dafadbbed75aaa07969,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402929201289,0.010181087303300257,-0.09461709232199542
c923fe08b2ff4e27975d2bf30934383b,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402929700779,0.010471975511965713,-0.08138495919456944
f1e3d9d08f044c439ce86a2d6fcca57b,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402930151160,0.010471975511965713,-0.06272447572260317
4f545737bf3347fbbc9af60b0be9a963,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402930645785,0.010471975511965713,-0.07152592387708914
7626dde27d604ac28a0240bdd54eba7a,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402931205642,0.012217304763959777,-0.06270745066633017
be99ffc878b24aca8956bbb4e0f97d0c,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402931700222,0.013671745807288386,-0.059720089818559995
9813c23a5f1448b09bb7910fea9baf20,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402932202343,0.018907733563271904,-0.0629294748580331
023c4df2d451409881d8e6ea82f14704,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402932645569,0.038106355335209265,-0.056452384996870296
c235638ed66145988d17f9d0601923f2,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402933145302,0.07068583470577088,-0.05738499360360333
bc3c8a953f6b4dcdb77b521d89f3d9d5,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402933645377,0.10093820840700486,-0.06534630862516272
1e3d79dae62742a0ad64c91679863358,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402934145541,0.13729923449022005,-0.08874447740279771
2afb9d32310e4546a71cbe432911eca2,cc8c0bf57f984915a77078b10eb33198,scene-0061,1532402934690574,0.2187479329166221,-0.06273228937453476
